Bells           Railway
Badge           X
Heat            Brain
Comb            Heart
Table           Smile
Wave            Jeans
Stranger        Help
Iron            Spade
Industry        Creature
Carriage        K
Border          Vacation
Advertisement   Snake
Match           Pleasure
Anger           Match
Smoke           Anger
Jeans           Smoke
Help            Detail
Spade           Substance
Creature        Comfort
Thunder         Root
Alarm           Ornament
Low             Quicksand
Hot             Space
Celery          Bath
Step            Grain
K               Rail
Beam            Transport
Crayon          Beam
Seashore        Crayon
Quicksand       Seashore
Space           Grandfather
Bath            Form
Railway         Bushes
Advice          Sisters
Grass           Bean
Soap            Distance
Seat            Rest
Coil            Horses
Drum            Butter
Smell           Sun
Mass            Bridge
Frogs           Circle
Rings           Scale
Pot             Dad
Silver          Jar
Hydrant         Feast
Pot             Tendency
Nation          Advice
Top             Grass
Discovery       Soap
Club            Rings
